                        id                         | mediaobject_id |       mid        |                                      programurl                                      
 41198976                                          |       16872019 | POMS_VPRO_055980 | http://download.omroep.nl/vpro/41198976.mp3
 39859843                                          |       16875424 | POMS_VPRO_056367 | http://download.omroep.nl/vpro/39859843.mp3
 41128970                                          |       16875135 | POMS_VPRO_056329 | http://download.omroep.nl/vpro/41128970.mp3
 39588942                                          |       16875922 | POMS_VPRO_056424 | http://download.omroep.nl/vpro/39588942.mp3
 42371024                                          |        7144270 | POMS_VPRO_212124 | http://download.omroep.nl/vpro/42371024.mp3
 42371024                                          |       16873949 | POMS_VPRO_056161 | http://download.omroep.nl/vpro/42371024.mp3
 42214125                                          |       16873066 | POMS_VPRO_056079 | http://download.omroep.nl/vpro/42214125.mp3
 38988496                                          |       17602191 | POMS_VPRO_070308 | http://download.omroep.nl/vpro/38988496.mp3
 42179929                                          |        7084818 | POMS_VPRO_213628 | http://download.omroep.nl/vpro/42179929.mp3
 42179929                                          |       16874393 | POMS_VPRO_056224 | http://download.omroep.nl/vpro/42179929.mp3
 42193758                                          |        7084839 | POMS_VPRO_213630 | http://download.omroep.nl/vpro/42193758.mp3
 42193758                                          |       16874386 | POMS_VPRO_056223 | http://download.omroep.nl/vpro/42193758.mp3
 42181392                                          |       16874217 | POMS_VPRO_056199 | http://download.omroep.nl/vpro/42181392.mp3
 42201783                                          |       16873416 | POMS_VPRO_056115 | http://download.omroep.nl/vpro/42201783.mp3
 42199226                                          |       16873774 | POMS_VPRO_056136 | http://download.omroep.nl/vpro/42199226.mp3
 het_marathoninterview_2008_01_januari_2008_uur_3  |       16872384 | POMS_VPRO_056029 | http://download.omroep.nl/vpro/het_marathoninterview_2008_01_januari_2008_uur_3.mp3
 het_marathoninterview_2008_01_januari_2008_uur_3  |        7036267 | POMS_VPRO_057783 | http://download.omroep.nl/vpro/het_marathoninterview_2008_01_januari_2008_uur_3.mp3
 42195550                                          |       16873993 | POMS_VPRO_056167 | http://download.omroep.nl/vpro/42195550.mp3
 35818626                                          |       19743187 | POMS_VPRO_106078 | http://download.omroep.nl/vpro/35818626.mp3
 42193701                                          |       16874175 | POMS_VPRO_056193 | http://download.omroep.nl/vpro/42193701.mp3
 41127609                                          |       16875192 | POMS_VPRO_056337 | http://download.omroep.nl/vpro/41127609.mp3
 39588839                                          |       16875943 | POMS_VPRO_056427 | http://download.omroep.nl/vpro/39588839.mp3
 42180476                                          |       16874322 | POMS_VPRO_056214 | http://download.omroep.nl/vpro/42180476.mp3
 42199447                                          |       16873624 | POMS_VPRO_056128 | http://download.omroep.nl/vpro/42199447.mp3
 39860036                                          |       16874915 | POMS_VPRO_056298 | http://download.omroep.nl/vpro/39860036.mp3
 42205100                                          |       16873294 | POMS_VPRO_056098 | http://download.omroep.nl/vpro/42205100.mp3
 39859645                                          |       16875445 | POMS_VPRO_056370 | http://download.omroep.nl/vpro/39859645.mp3
 42173213                                          |        7085561 | POMS_VPRO_199927 | http://download.omroep.nl/vpro/42173213.mp3
 42173213                                          |       16874541 | POMS_VPRO_056245 | http://download.omroep.nl/vpro/42173213.mp3
 42214199                                          |       16872670 | POMS_VPRO_056048 | http://download.omroep.nl/vpro/42214199.mp3
 41128979                                          |       16875128 | POMS_VPRO_056328 | http://download.omroep.nl/vpro/41128979.mp3
 41135694                                          |       16875072 | POMS_VPRO_056320 | http://download.omroep.nl/vpro/41135694.mp3
 42201745                                          |       16873409 | POMS_VPRO_056114 | http://download.omroep.nl/vpro/42201745.mp3
 36346255                                          |       19764109 | POMS_VPRO_106208 | http://download.omroep.nl/vpro/36346255.mp3
 41579220                                          |        7091208 | POMS_VPRO_213361 | http://download.omroep.nl/vpro/41579220.mp3
 41579220                                          |       16875638 | POMS_VPRO_056392 | http://download.omroep.nl/vpro/41579220.mp3
 39859144                                          |        7112936 | POMS_VPRO_107840 | http://download.omroep.nl/vpro/39859144.mp3
 39859144                                          |       16875619 | POMS_VPRO_056390 | http://download.omroep.nl/vpro/39859144.mp3
 38989425                                          |       16876142 | POMS_VPRO_056452 | http://download.omroep.nl/vpro/38989425.mp3
 39859665                                          |       16875438 | POMS_VPRO_056369 | http://download.omroep.nl/vpro/39859665.mp3
 42213826                                          |       16872886 | POMS_VPRO_056069 | http://download.omroep.nl/vpro/42213826.mp3
 42213841                                          |       16872809 | POMS_VPRO_056065 | http://download.omroep.nl/vpro/42213841.mp3
 35818611                                          |       19743179 | POMS_VPRO_105811 | http://download.omroep.nl/vpro/35818611.mp3
 42181659                                          |       16874154 | POMS_VPRO_056190 | http://download.omroep.nl/vpro/42181659.mp3
 42201664                                          |       16873535 | POMS_VPRO_056122 | http://download.omroep.nl/vpro/42201664.mp3
 35388161                                          |        7090948 | POMS_VPRO_104742 | http://download.omroep.nl/vpro/35388161.mp3
 35388161                                          |       19404513 | POMS_VPRO_104756 | http://download.omroep.nl/vpro/35388161.mp3
 41127087                                          |       16875213 | POMS_VPRO_056340 | http://download.omroep.nl/vpro/41127087.mp3
